DATE,PCU2122212122210_NBD19850601
1985-06-01,100.00000
1985-07-01,100.10000
1985-08-01,100.20000
1985-09-01,99.20000
1985-10-01,99.90000
1985-11-01,99.60000
1985-12-01,98.30000
1986-01-01,96.90000
1986-02-01,100.20000
1986-03-01,102.90000
1986-04-01,101.20000
1986-05-01,104.40000
1986-06-01,102.90000
1986-07-01,100.70000
1986-08-01,106.70000
1986-09-01,108.10000
1986-10-01,112.70000
1986-11-01,113.60000
1986-12-01,107.50000
1987-01-01,114.70000
1987-02-01,122.20000
1987-03-01,120.40000
1987-04-01,125.40000
1987-05-01,128.40000
1987-06-01,136.80000
1987-07-01,135.80000
1987-08-01,135.40000
1987-09-01,136.90000
1987-10-01,136.40000
1987-11-01,136.90000
1987-12-01,139.10000
1988-01-01,140.90000
1988-02-01,138.20000
1988-03-01,133.90000
1988-04-01,133.30000
1988-05-01,133.20000
1988-06-01,133.20000
1988-07-01,130.00000
1988-08-01,126.00000
1988-09-01,124.00000
1988-10-01,120.50000
1988-11-01,121.10000
1988-12-01,122.00000
1989-01-01,119.70000
1989-02-01,116.30000
1989-03-01,116.10000
1989-04-01,116.20000
1989-05-01,115.20000
1989-06-01,112.60000
1989-07-01,112.30000
1989-08-01,112.20000
1989-09-01,110.10000
1989-10-01,109.60000
1989-11-01,110.30000
1989-12-01,119.70000
1990-01-01,120.00000
1990-02-01,117.30000
1990-03-01,118.50000
1990-04-01,114.20000
1990-05-01,112.00000
1990-06-01,108.60000
1990-07-01,106.60000
1990-08-01,111.30000
1990-09-01,116.90000
1990-10-01,117.30000
1990-11-01,111.20000
1990-12-01,111.90000
1991-01-01,115.80000
1991-02-01,110.80000
1991-03-01,107.90000
1991-04-01,107.50000
1991-05-01,105.30000
1991-06-01,105.80000
1991-07-01,108.20000
1991-08-01,109.20000
1991-09-01,105.40000
1991-10-01,104.70000
1991-11-01,106.20000
1991-12-01,109.50000
1992-01-01,106.40000
1992-02-01,106.40000
1992-03-01,106.90000
1992-04-01,103.90000
1992-05-01,102.40000
1992-06-01,103.90000
1992-07-01,104.00000
1992-08-01,105.70000
1992-09-01,105.20000
1992-10-01,105.50000
1992-11-01,103.30000
1992-12-01,101.70000
1993-01-01,100.80000
1993-02-01,98.90000
1993-03-01,98.90000
1993-04-01,100.10000
1993-05-01,103.50000
1993-06-01,109.20000
1993-07-01,111.90000
1993-08-01,113.20000
1993-09-01,108.30000
1993-10-01,106.50000
1993-11-01,109.20000
1993-12-01,111.60000
1994-01-01,112.60000
1994-02-01,113.30000
1994-03-01,112.50000
1994-04-01,112.00000
1994-05-01,111.80000
1994-06-01,113.80000
1994-07-01,116.80000
1994-08-01,116.30000
1994-09-01,116.70000
1994-10-01,118.20000
1994-11-01,117.30000
1994-12-01,114.70000
1995-01-01,113.90000
1995-02-01,113.90000
1995-03-01,114.50000
1995-04-01,116.60000
1995-05-01,118.00000
1995-06-01,116.50000
1995-07-01,116.40000
1995-08-01,116.00000
1995-09-01,115.40000
1995-10-01,116.10000
1995-11-01,116.30000
1995-12-01,116.60000
1996-01-01,118.40000
1996-02-01,122.20000
1996-03-01,119.50000
1996-04-01,119.00000
1996-05-01,118.10000
1996-06-01,116.60000
1996-07-01,115.60000
1996-08-01,116.90000
1996-09-01,115.80000
1996-10-01,115.10000
1996-11-01,115.20000
1996-12-01,111.70000
1997-01-01,108.40000
1997-02-01,103.70000
1997-03-01,106.90000
1997-04-01,104.70000
1997-05-01,105.60000
1997-06-01,104.40000
1997-07-01,97.30000
1997-08-01,99.20000
1997-09-01,98.00000
1997-10-01,99.90000
1997-11-01,95.20000
1997-12-01,87.90000
1998-01-01,86.30000
1998-02-01,91.70000
1998-03-01,90.90000
1998-04-01,93.60000
1998-05-01,91.70000
1998-06-01,90.90000
1998-07-01,90.50000
1998-08-01,86.90000
1998-09-01,88.00000
1998-10-01,90.20000
1998-11-01,89.90000
1998-12-01,89.80000
1999-01-01,88.10000
1999-02-01,89.00000
1999-03-01,88.80000
1999-04-01,87.50000
1999-05-01,86.90000
1999-06-01,80.10000
1999-07-01,79.90000
1999-08-01,80.10000
1999-09-01,79.10000
1999-10-01,96.00000
1999-11-01,87.50000
1999-12-01,84.40000
2000-01-01,84.90000
2000-02-01,90.40000
2000-03-01,87.00000
2000-04-01,84.50000
2000-05-01,83.50000
2000-06-01,86.80000
2000-07-01,84.90000
2000-08-01,82.50000
2000-09-01,82.60000
2000-10-01,81.10000
2000-11-01,79.80000
2000-12-01,81.70000
2001-01-01,79.80000
2001-02-01,78.90000
2001-03-01,81.30000
2001-04-01,76.90000
2001-05-01,80.60000
2001-06-01,81.10000
2001-07-01,80.30000
2001-08-01,82.60000
2001-09-01,85.30000
2001-10-01,85.60000
2001-11-01,83.40000
2001-12-01,81.50000
2002-01-01,85.20000
2002-02-01,89.30000
2002-03-01,88.10000
2002-04-01,89.60000
2002-05-01,92.20000
2002-06-01,94.70000
2002-07-01,93.90000
2002-08-01,93.10000
2002-09-01,95.60000
2002-10-01,94.80000
2002-11-01,94.90000
2002-12-01,96.80000
2003-01-01,104.10000
2003-02-01,109.70000
2003-03-01,103.80000
2003-04-01,96.80000
2003-05-01,103.10000
2003-06-01,106.30000
2003-07-01,103.20000
2003-08-01,106.60000
2003-09-01,113.10000
2003-10-01,111.50000
2003-11-01,114.40000
2003-12-01,120.10000
2004-01-01,125.60000
2004-02-01,121.00000
2004-03-01,119.20000
2004-04-01,122.90000
2004-05-01,112.80000
2004-06-01,114.20000
2004-07-01,119.80000
2004-08-01,118.10000
2004-09-01,120.20000
2004-10-01,124.10000
2004-11-01,129.10000
2004-12-01,130.80000
2005-01-01,125.80000
2005-02-01,124.50000
2005-03-01,131.00000
2005-04-01,126.30000
2005-05-01,126.20000
2005-06-01,124.90000
2005-07-01,125.40000
2005-08-01,131.60000
2005-09-01,132.90000
2005-10-01,138.60000
2005-11-01,138.00000
2005-12-01,154.10000
2006-01-01,157.50000
2006-02-01,162.70000
2006-03-01,159.30000
2006-04-01,173.40000
2006-05-01,207.70000
2006-06-01,177.80000
2006-07-01,184.60000
2006-08-01,186.70000
2006-09-01,178.50000
2006-10-01,165.50000
2006-11-01,185.20000
2006-12-01,186.90000
2007-01-01,179.70000
2007-02-01,194.70000
2007-03-01,191.30000
2007-04-01,198.80000
2007-05-01,196.10000
2007-06-01,191.90000
2007-07-01,192.40000
2007-08-01,195.80000
2007-09-01,205.30000
2007-10-01,215.00000
2007-11-01,233.20000
2007-12-01,233.50000
2008-01-01,209.30000
2008-02-01,218.50000
2008-03-01,231.20000
2008-04-01,217.60000
2008-05-01,205.40000
2008-06-01,210.90000
2008-07-01,229.10000
2008-08-01,203.10000
2008-09-01,191.10000
2008-10-01,209.30000
2008-11-01,176.60000
2008-12-01,188.30000
2009-01-01,200.20000
2009-02-01,220.60000
2009-03-01,223.00000
2009-04-01,214.80000
2009-05-01,219.20000
2009-06-01,233.70000
2009-07-01,225.20000
2009-08-01,231.50000
2009-09-01,241.20000
2009-10-01,254.50000
2009-11-01,269.90000
2009-12-01,276.50000
2010-01-01,278.00000
2010-02-01,265.40000
2010-03-01,274.60000
2010-04-01,278.30000
2010-05-01,286.90000
2010-06-01,296.60000
2010-07-01,290.70000
2010-08-01,290.00000
2010-09-01,308.30000
2010-10-01,328.20000
2010-11-01,339.30000
2010-12-01,343.20000
2011-01-01,341.40000
2011-02-01,343.40000
2011-03-01,354.50000
2011-04-01,369.90000
2011-05-01,381.40000
2011-06-01,385.10000
2011-07-01,397.60000
2011-08-01,432.40000
2011-09-01,464.30000
2011-10-01,423.10000
2011-11-01,445.30000
2011-12-01,415.70000
2012-01-01,412.20000
2012-02-01,431.70000
2012-03-01,426.20000
2012-04-01,415.70000
2012-05-01,394.10000
2012-06-01,402.90000
2012-07-01,396.60000
2012-08-01,401.40000
2012-09-01,433.90000
2012-10-01,440.20000
2012-11-01,432.00000
2012-12-01,427.80000
2013-01-01,420.40000
2013-02-01,413.30000
2013-03-01,402.40000
2013-04-01,394.30000
2013-05-01,357.80000
2013-06-01,341.80000
2013-07-01,319.30000
2013-08-01,331.30000
2013-09-01,342.00000
2013-10-01,325.30000
2013-11-01,325.00000
2013-12-01,312.50000
2014-01-01,306.90000
2014-02-01,317.30000
2014-03-01,332.40000
2014-04-01,326.30000
2014-05-01,320.90000
2014-06-01,311.60000
2014-07-01,327.20000
2014-08-01,322.90000
2014-09-01,315.30000
2014-10-01,304.20000
2014-11-01,294.40000
2014-12-01,297.10000
2015-01-01,300.30000
2015-02-01,309.10000
2015-03-01,294.40000
2015-04-01,297.20000
2015-05-01,295.50000
2015-06-01,291.70000
2015-07-01,288.10000
2015-08-01,272.30000
2015-09-01,274.60000
2015-10-01,285.20000
2015-11-01,274.90000
2015-12-01,271.10000
2016-01-01,269.70000
2016-02-01,287.20000
2016-03-01,303.30000
2016-04-01,306.70000
2016-05-01,312.20000
2016-06-01,306.30000
2016-07-01,327.50000
2016-08-01,330.90000
2016-09-01,328.10000
2016-10-01,318.40000
2016-11-01,303.30000
2016-12-01,295.00000
2017-01-01,288.30000
2017-02-01,300.80000
2017-03-01,303.00000
2017-04-01,309.00000
2017-05-01,308.30000
2017-06-01,312.00000
2017-07-01,307.00000
2017-08-01,312.60000
2017-09-01,325.90000
2017-10-01,317.90000
2017-11-01,315.90000
2017-12-01,314.70000
